kmer frequency	Number of kmers int his category
14679	1
14688	1
14693	1
14695	1
14740	1
14751	1
14794	1
14795	1
14830	1
14833	1
14834	1
14861	1
14865	1
14879	1
14887	1
14889	1
14905	1
14935	1
15004	1
15007	1
15044	1
15051	1
15059	1
15066	1
15079	1
15107	1
15127	1
15133	1
15161	1
15164	1
15170	1
15217	1
15232	1
15258	1
15269	1
15361	1
15428	1
15441	1
15445	1
15462	1
15474	1
15485	1
15515	1
15520	1
15545	1
15552	1
15564	1
15578	1
15619	1
15637	1
15649	1
15656	1
15663	1
15734	1
15738	1
15790	1
15797	1
15806	1
15862	1
15886	1
15909	1
15923	1
15975	1
15976	1
15994	1
16021	1
16044	1
16059	1
16083	1
16093	1
16137	1
16140	1
16176	1
16229	1
16240	1
16271	1
16307	1
16325	1
16342	1
16395	1
16427	1
16449	1
16458	1
16473	1
16486	1
16490	1
16497	1
16500	1
16519	1
16532	1
16559	1
16582	1
16626	1
16673	1
16690	1
16715	1
16722	1
16735	1
16750	1
16776	1
16779	1
16849	1
16875	1
16893	1
16922	1
16943	1
16984	1
16987	1
16999	1
17028	1
17121	1
17130	1
17218	1
17247	1
17272	1
17279	1
17308	1
17412	1
17480	1
17519	1
17639	1
17646	1
17681	1
17692	1
17697	1
17712	1
17719	1
17738	1
17810	1
17823	1
17867	1
17906	1
17914	1
17920	1
17930	1
17945	1
17988	1
18017	1
18082	1
18133	1
18137	1
18139	1
18227	1
18402	1
18479	1
18493	1
18634	1
18682	1
18857	1
18883	1
18906	1
19072	1
19140	1
19223	1
19241	1
19287	1
19346	1
19420	1
19436	1
19440	1
19457	1
19476	2
19478	1
19510	1
19596	1
19601	1
19722	1
19744	1
19746	1
19787	1
19856	1
19964	1
19965	1
19984	1
20038	1
20049	1
20112	1
20156	1
20186	1
20198	1
20200	1
20224	1
20238	1
20242	1
20282	1
20285	1
20315	1
20323	1
20335	1
20341	1
20350	1
20378	1
20383	1
20401	1
20403	1
20413	1
20432	1
20436	1
20461	1
20483	1
20504	1
20530	1
20566	1
20572	1
20581	1
20592	1
20624	1
20685	1
20699	1
20743	1
20750	1
20761	1
20776	1
20822	1
20828	1
20846	1
20860	1
20865	1
20974	1
20977	1
21039	1
21051	1
21087	1
21088	1
21112	1
21153	1
21209	1
21245	1
21263	1
21266	1
21279	1
21322	1
21346	1
21408	1
21417	1
21423	1
21468	1
21535	1
21544	2
21547	1
21605	1
21637	1
21846	1
21918	1
21939	1
21971	1
21978	1
22001	1
22012	1
22067	1
22074	1
22078	1
22098	1
22132	1
22177	1
22225	1
22234	1
22266	1
22310	1
22353	1
22375	1
22397	1
22469	1
22473	1
22537	1
22565	1
22711	1
22719	1
22734	1
22770	1
22782	1
22835	1
22898	1
22914	1
22927	1
22931	1
22960	1
22995	1
23000	1
23007	1
23011	1
23013	1
23070	1
23075	1
23079	1
23093	1
23108	1
23130	1
23156	1
23206	1
23215	1
23224	1
23305	1
23322	1
23381	1
23400	1
23433	1
23470	1
23564	1
23567	1
23597	1
23616	1
23700	1
23732	1
23735	1
23757	1
23797	1
23802	1
23818	1
23830	1
23886	1
23890	1
23893	1
23926	1
23927	2
23931	1
23943	1
23945	2
23988	1
24006	1
24026	1
24069	1
24079	1
24107	1
24119	1
24121	1
24127	1
24152	1
24183	1
24185	1
24187	1
24199	1
24234	1
24243	1
24258	1
24300	1
24308	2
24309	1
24375	1
24388	1
24423	1
24425	1
24428	1
24470	1
24541	1
24549	1
24627	1
24660	1
24722	1
24784	1
24807	1
24889	1
24966	1
24982	1
25117	1
25243	1
25649	1
25865	1
25908	1
25910	1
25974	1
26037	1
26072	1
26211	1
26438	1
26495	1
26502	1
26564	1
26588	1
26597	1
26688	1
26690	1
26888	1
26891	1
27158	1
27166	1
27259	1
27318	1
27572	1
27846	1
27847	1
27872	1
27899	1
28043	1
28047	1
28547	1
28632	1
28729	1
28748	1
28801	1
28842	1
28898	1
28969	1
28983	1
29048	1
29051	1
29057	1
29216	1
29334	1
29395	1
29460	1
29510	1
29528	1
29566	1
29631	1
29662	1
29985	1
30377	1
30425	1
30553	1
30880	1
30988	1
30997	1
31086	1
31129	1
31165	1
31186	1
31277	1
31349	1
31357	1
31377	1
31429	1
31605	1
31745	1
31982	1
32116	1
32358	1
32602	1
32764	1
32887	1
33046	1
33230	1
33263	1
33329	1
33550	1
33759	1
33782	1
33822	1
33857	1
33961	1
34047	1
34062	1
34104	1
34185	1
34199	1
34263	1
34308	1
34649	1
34676	1
34768	1
34839	1
34848	1
34984	1
35016	1
35072	1
35082	1
35170	1
35199	1
35388	1
35436	1
35528	1
35541	1
35583	1
35763	1
35788	1
35873	1
35929	1
35977	1
36023	1
36044	1
36055	1
36759	1
36898	1
37197	1
37249	1
37343	1
37396	1
37538	1
37637	1
37773	1
37836	1
38814	1
39051	1
39061	1
39089	1
39414	1
39618	1
39639	1
39738	1
39837	1
39998	1
40032	1
40055	1
40169	1
40247	1
40336	1
40401	1
40619	1
40788	1
40958	1
41132	1
41302	1
41407	1
41731	1
41761	1
41934	1
42024	1
42157	1
42302	1
42905	1
43165	1
43167	1
43374	1
43430	1
44028	1
44135	1
44193	1
44415	1
44585	1
44691	1
44864	1
45150	1
45530	1
45693	1
45984	2
46015	1
46038	1
46066	1
46087	1
46251	1
46274	1
46446	1
46662	1
46693	1
46811	1
46947	1
46975	1
47042	1
47047	1
47096	1
47199	1
47295	1
47597	1
47632	1
47634	1
47741	1
47756	1
47799	1
47950	1
48021	1
48107	1
48211	1
48269	1
48316	1
48449	1
48509	1
48561	1
49184	1
49480	1
49490	1
49555	1
49699	1
49978	1
50110	1
50364	1
50564	1
50654	1
50902	1
50929	1
50965	1
51079	1
51106	1
51266	1
51290	1
51351	1
51393	1
51712	1
51956	1
52515	1
52729	1
52823	1
52834	1
53056	1
53681	1
53683	1
54045	1
54050	1
54409	1
54435	1
54466	1
54505	1
54748	1
54899	1
54951	1
55069	1
55213	1
56094	1
56131	1
56229	1
56335	1
56382	1
56843	1
57053	1
57299	1
57481	1
58887	1
58993	1
59133	1
59262	1
59295	1
60024	1
60047	1
60362	1
60467	1
60836	1
60876	1
61026	1
61138	1
61163	1
61226	1
61444	1
61591	1
61801	1
61967	1
61971	1
62231	1
62539	1
63247	1
63675	1
63948	1
66486	1
66824	1
67008	1
68091	1
68558	1
68566	1
68764	1
69237	1
69702	1
69868	1
69961	1
70063	1
70377	1
70502	1
70595	1
70811	1
70824	1
70911	1
70927	1
70952	1
71484	1
71497	1
72007	1
72190	1
72977	1
73323	1
73405	1
73493	1
73514	1
73645	1
73782	1
73918	1
73999	1
74021	1
74050	1
74107	1
74112	1
74174	1
74226	1
74314	1
74475	1
74649	1
74660	1
74714	1
75189	1
75389	1
75658	1
75898	1
76040	1
76061	1
76497	1
77422	1
79264	1
80781	1
81939	1
82338	1
87547	1
90686	1
95494	1
95642	1
96370	1
100889	1
177566	1
178019	1
295465	1
298141	1
342816	1
345744	1
